# id	left	top	right	bottom	texture_id
[SPRITES]
#ground1
21001	1376	0 	1391	15	30
21002	1392	0 	1407	15	30
21003	1408	0 	1423	15	30
#ground2
21004	1440	0 	1455	15	30
21005	1456	0 	1471	15	30
21006	1472	0 	1487	15	30
#Red platform
21007	176	0	191	15	30
21008	192	0	207	15	30
21009	208	0	223	15	30
#Green platform
21010	464	0	479	15	30
21011	480	0	495	15	30
21012	496	0	511	15	30
#Whilte platform
21013	592	0	607	15	30
21014	608	0	623	15	30
21015	624	0	639	15	30
#Blue platform
21016	736	0	751	15	30
21017	752	0	767	15	30
21018	768	0	783	15	30
#Cloud platform
21019	352	0	367	15	30
[ANIMATIONS]
